Bin.Id	Source	Genome.size..bp.	GC	Coding.density
jk18x1bzbins.18	B_I._felix	5624549	47.7	89.18
jk18x1bzbins.19	B_I._felix	3889421	61.9	90.23
jk18x1bzbins.24	B_I._felix	5198253	61.7	86.92
jk18x1bzbins.25	B_I._felix	6135135	47.6	88.75
jk18x1bzbins.27	B_I._felix	4866986	70.2	93.56
jk18x1bzbins.28	B_I._felix	3584073	67.5	92.67
jk18x1bzbins.29	B_I._felix	3791936	62.8	86.89
jk18x1bzbins.34	B_I._felix	4679395	65.5	89.83
jk18x1bzbins.36	B_I._felix	5568535	50.6	83.01
jk18x1bzbins.37	B_I._felix	5363005	60	85.06
jk18x1bzbins.39	B_I._felix	5326528	63.3	89.16
jk18x1bzbins.41	B_I._felix	3002002	65	91.67
jk18x1bzbins.42	B_I._felix	5695786	51	92.52
jk18x1bzbins.48	B_I._felix	4933343	69.4	88.87
jk18x1bzbins.53	B_I._felix	5965398	63.9	88.16
jk18x1bzbins.55	B_I._felix	4714322	58	90.56
jk18x1bzbins.57	B_I._felix	2418325	56.5	87.44
jk18x1bzbins.60	B_I._felix	1784951	50.4	89.51
jk18x1bzbins.61	B_I._felix	3432623	56.7	93.09
jk18x1bzbins.63	B_I._felix	4085682	58.8	89.33
jk18x1bzbins.64	B_I._felix	3984390	69.4	89.06
jk18x1bzbins.66	B_I._felix	2385782	66.9	92.15
jk18x1bzbins.67	B_I._felix	4144006	65.5	88.23
jk18x1bzbins.7	B_I._felix	4617834	62.4	87.52
jk18x1bzbins.72	B_I._felix	5093395	47.1	88.22
jk18x1bzbins.73	B_I._felix	4388733	68.6	94.12
jk18x1bzbins.74	B_I._felix	3452426	65	94
jk18x1bzbins.75	B_I._felix	4627015	67.5	89.85
jk18x1bzbins.77	B_I._felix	3275917	69.1	93.71
jk18x1bzbins.78	B_I._felix	6043612	49.9	86.87
jk18x1bzbins.79	B_I._felix	3775265	61.6	85.95
jk18x1bzbins.81	B_I._felix	4384395	64.4	92.92
jk18x1bzbins.83	B_I._felix	4393182	67.5	91.6
jk18x1bzbins.85	B_I._felix	6230357	66.1	86.94
jk18x1bzbins.86	B_I._felix	2735415	69.4	92.58
jk18x1bzbins.87	B_I._felix	2490333	59.8	84.86
jk18x1bzbins.88	B_I._felix	6157998	58.7	92.82
jk18x1bzbins.9	B_I._felix	3165920	67.7	88.41
jk18xAbins.10	B_I._felix	3750259	51.2	89.35
jk18xAbins.11	B_I._felix	1627159	51.6	91.27
jk18xAbins.18	B_I._felix	3403639	64.7	93.43
jk18xAbins.19	B_I._felix	5634213	41.2	86.69
jk18xAbins.2	B_I._felix	4547484	58	90.18
jk18xAbins.20	B_I._felix	3037137	43.1	84.94
jk18xAbins.24	B_I._felix	5686627	47.4	88.86
jk18xAbins.25	B_I._felix	6000819	50	87.33
jk18xAbins.26	B_I._felix	3310788	67.3	92.56
jk18xAbins.27	B_I._felix	6946379	63.5	88.33
jk18xAbins.29	B_I._felix	3215086	61.7	90.78
jk18xAbins.3	B_I._felix	2950031	67.3	89.43
jk18xAbins.31	B_I._felix	2815196	60.8	90.26
jk18xAbins.40	B_I._felix	2482794	56.3	88.08
jk18xAbins.42	B_I._felix	3679169	51.5	88.12
jk18xAbins.44	B_I._felix	3381995	61.2	89.46
jk18xAbins.45	B_I._felix	4408255	57.9	90.56
jk18xAbins.46	B_I._felix	4397938	62.4	87.3
jk18xAbins.48	B_I._felix	4001897	68.3	90.21
jk18xAbins.49	B_I._felix	3487512	56.6	93.02
jk18xAbins.50	B_I._felix	4968181	48.6	88.2
jk18xAbins.51	B_I._felix	2086968	60.1	84.55
jk18xAbins.52	B_I._felix	3189184	69.1	90.26
jk18xAbins.55	B_I._felix	3548874	65.7	88.74
jk18xAbins.6	B_I._felix	4477025	68.6	93.55
jk18xAbins.60	B_I._felix	3561540	65.4	85.7
jk18xAbins.61	B_I._felix	1807227	61.8	90.91
jk18xAbins.63	B_I._felix	5488239	59.7	85.77
jk18xAbins.67	B_I._felix	4865707	60.5	89.4
p16x57bins.10	G_I._laeviconulosa	5120417	60.8	86.86
p16x57bins.12	G_I._laeviconulosa	3438613	65	93.8
p16x57bins.13	G_I._laeviconulosa	3733655	64.8	90.19
p16x57bins.17	G_I._laeviconulosa	1574925	51.6	90.84
p16x57bins.24	G_I._laeviconulosa	4435654	67.6	90.22
p16x57bins.27	G_I._laeviconulosa	3296620	65.9	88.82
p16x57bins.32	G_I._laeviconulosa	3369953	66.8	86.01
p16x57bins.35	G_I._laeviconulosa	6021571	58.8	93.27
p16x57bins.38	G_I._laeviconulosa	3845277	61.1	84.47
p16x57bins.39	G_I._laeviconulosa	3098162	61.3	89.53
p16x57bins.40	G_I._laeviconulosa	3342077	62.6	91.03
p16x57bins.41	G_I._laeviconulosa	4445256	61.1	86.6
p16x57bins.45	G_I._laeviconulosa	4396077	68.7	90.71
p16x57bins.56	G_I._laeviconulosa	2468524	56.1	90.5
p16x60bins.11	G_I._laeviconulosa	3520569	62.6	87.86
p16x60bins.17	G_I._laeviconulosa	3504362	63.3	89.46
p16x60bins.18	G_I._laeviconulosa	4147548	59.5	89.26
p16x60bins.21	G_I._laeviconulosa	3000371	70.1	91.91
p16x60bins.22	G_I._laeviconulosa	3887711	69.3	93.09
p16x60bins.27	G_I._laeviconulosa	6067373	64	88.12
p16x60bins.32	G_I._laeviconulosa	2653232	61.4	90.97
p16x60bins.37	G_I._laeviconulosa	4806814	67.8	90.54
p16x60bins.38	G_I._laeviconulosa	2336387	60.1	85.5
p16x60bins.4	G_I._laeviconulosa	3533040	63.7	90.5
p16x60bins.49	G_I._laeviconulosa	5336326	51	92.74
p16x60bins.55	G_I._laeviconulosa	4002789	67.5	88.91
p16x60bins.57	G_I._laeviconulosa	4507562	68.8	94.26
p16x60bins.58	G_I._laeviconulosa	2742417	66.9	90.27
p16x60bins.61	G_I._laeviconulosa	3217957	64.9	89.15
p16x60bins.63	G_I._laeviconulosa	3175915	47	87.78
p16x60bins.66	G_I._laeviconulosa	3273961	67.9	92.6
p16x60bins.67	G_I._laeviconulosa	2620929	44.2	89.62
p16x60bins.8	G_I._laeviconulosa	4640509	58	90.87
p16x60bins.9	G_I._laeviconulosa	2418870	70.6	92.65
p16x33bins.15	H_I._radix	5028038	48.2	89.57
p16x33bins.19	H_I._radix	1729869	50.5	90.15
p16x33bins.2	H_I._radix	4407373	64.3	92.26
p16x33bins.23	H_I._radix	5370201	47.5	87.77
p16x33bins.28	H_I._radix	3526578	68.6	91.03
p16x33bins.3	H_I._radix	4022382	59.5	89.28
p16x33bins.34	H_I._radix	3409246	65	92.48
p16x33bins.37	H_I._radix	3388574	51.5	88.55
p16x33bins.38	H_I._radix	3239241	60.5	83.86
p16x33bins.39	H_I._radix	4785293	61	87.13
p16x33bins.42	H_I._radix	4905262	41.8	88.35
p16x33bins.47	H_I._radix	4293791	58.8	88.85
p16x33bins.48	H_I._radix	3875248	67.4	91.76
p16x33bins.5	H_I._radix	2570326	56.6	87.61
p16x33bins.50	H_I._radix	5660424	51.1	92.51
p16x33bins.66	H_I._radix	3032249	67.6	92.88
p16x33bins.71	H_I._radix	6621045	71.3	85.08
p16x33bins.72	H_I._radix	2851402	66.8	90.07
p16x33bins.8	H_I._radix	1985603	56	91.6
p16x34bins.1	H_I._radix	4216204	67.3	88.91
p16x34bins.10	H_I._radix	4179646	67.2	91.08
p16x34bins.13	H_I._radix	5414992	50.8	92.15
p16x34bins.14	H_I._radix	3754487	62.4	90.88
p16x34bins.22	H_I._radix	3277359	65.3	94.1
p16x34bins.23	H_I._radix	3363593	68.7	92.08
p16x34bins.24	H_I._radix	3866370	64.8	90.18
p16x34bins.28	H_I._radix	5144684	47.7	88.37
p16x34bins.31	H_I._radix	5172654	67.9	90.29
p16x34bins.34	H_I._radix	3719015	69	93.06
p16x34bins.36	H_I._radix	3538651	62.7	87.53
p16x34bins.37	H_I._radix	3280548	67.8	92.41
p16x34bins.43	H_I._radix	4656849	67.4	89.23
p16x34bins.44	H_I._radix	3193818	66.4	86.13
p16x34bins.45	H_I._radix	1673790	51.3	91.19
p16x34bins.47	H_I._radix	3793275	63.2	89.64
p16x34bins.5	H_I._radix	5434924	47.6	88.41
p16x34bins.50	H_I._radix	4230660	69.5	93.32
p16x34bins.51	H_I._radix	3403975	70.1	92.45
p16x34bins.53	H_I._radix	3509756	70	91.49
p16x34bins.54	H_I._radix	2493768	59.4	85.29
p16x34bins.60	H_I._radix	4696570	65.7	88.24
p16x34bins.62	H_I._radix	5007180	59.1	93.36
p16x34bins.64	H_I._radix	4626603	58	90.85
p16x34bins.65	H_I._radix	4564101	56.6	89.13
p16x34bins.66	H_I._radix	6554762	71.3	84.42
p16x34bins.71	H_I._radix	2751126	66.5	90.67
p16x34bins.72	H_I._radix	4560666	63.1	90.13
p16x34bins.9	H_I._radix	4238389	68.8	94.26
p16x63bins.1	F_I._bocatorensis	3570087	51.5	87.98
p16x63bins.20	F_I._bocatorensis	3587243	63	90.35
p16x63bins.21	F_I._bocatorensis	3861037	61.2	90.03
p16x63bins.25	F_I._bocatorensis	2255392	56.1	91.1
p16x63bins.29	F_I._bocatorensis	4877803	60.9	87.14
p16x63bins.3	F_I._bocatorensis	3717185	63.6	87.72
p16x63bins.32	F_I._bocatorensis	2362088	57.1	87.74
p16x63bins.43	F_I._bocatorensis	3333816	67.7	92.63
p16x63bins.44	F_I._bocatorensis	1632390	51.1	90.77
p16x63bins.49	F_I._bocatorensis	3918824	60.5	86.37
p16x63bins.52	F_I._bocatorensis	2739548	65.8	91.96
p16x63bins.58	F_I._bocatorensis	3688547	68.8	92.66
p16x63bins.62	F_I._bocatorensis	5058983	41.8	88.38
p16x63bins.68	F_I._bocatorensis	4001422	60.6	86.99
p16x63bins.69	F_I._bocatorensis	3570990	69.5	90.35
p16x63bins.70	F_I._bocatorensis	6358836	64.1	87.48
p16x63bins.71	F_I._bocatorensis	3014199	66.9	90.58
p16x63bins.72	F_I._bocatorensis	3941777	67.6	88.62
p16x63bins.74	F_I._bocatorensis	5541858	47.9	88.51
p16x63bins.9	F_I._bocatorensis	2848629	69	91.83
p16x65bins.1	F_I._bocatorensis	3850381	64.7	90.21
p16x65bins.10	F_I._bocatorensis	4064547	59.5	89.35
p16x65bins.14	F_I._bocatorensis	4441236	64.5	93.02
p16x65bins.2	F_I._bocatorensis	5128027	48.6	89.26
p16x65bins.25	F_I._bocatorensis	5841050	59	93.75
p16x65bins.28	F_I._bocatorensis	4320518	58.7	88.88
p16x65bins.30	F_I._bocatorensis	2756480	66.9	90.09
p16x65bins.31	F_I._bocatorensis	3719390	66.5	85.93
p16x65bins.33	F_I._bocatorensis	3375943	56.8	92.74
p16x65bins.37	F_I._bocatorensis	3689276	64.8	93.68
p16x65bins.39	F_I._bocatorensis	2270490	59.9	84.47
p16x65bins.40	F_I._bocatorensis	4307412	68.6	89.84
p16x65bins.41	F_I._bocatorensis	4678431	58.1	90.74
p16x65bins.48	F_I._bocatorensis	4861842	68.1	91.07
p16x65bins.49	F_I._bocatorensis	5019702	48.2	89.34
p16x65bins.5	F_I._bocatorensis	5314724	51.3	92.67
p16x65bins.51	F_I._bocatorensis	4729965	60.9	86.63
p16x65bins.53	F_I._bocatorensis	3347321	65.7	87.92
jk18x40bins.16	A_I._strobilina	3520625	65.6	88.95
jk18x40bins.18	A_I._strobilina	3690492	67.3	90.74
jk18x40bins.22	A_I._strobilina	4556110	40.2	86.41
jk18x40bins.26	A_I._strobilina	2350498	65.7	91.96
