GCA_002698125.1_ASM269812v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g__UBA7388_s__UBA7388
GCA_002719335.1_ASM271933v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g__UBA2110_s__UBA2110
GCA_002705305.1_ASM270530v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g__UBA2110_s__UBA2110
GCA_002238785.1_ASM223878v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__UBA5794_f__Bin76_g__Bin76_s__Bin76
GCA_002717205.1_ASM271720v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__UBA1328_s__UBA1328
GCA_002701805.1_ASM270180v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__GCA-002708145_s__GCA-002708145
GCA_002239045.1_ASM223904v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__Bin127_g__Bin127_s__Bin127
GCA_002699165.1_ASM269916v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__TMED-70_g__TMED-70_s__TMED-70
GCA_002700125.1_ASM270012v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__TMED-70_g__GCA-002700125_s__GCA-002700125
GCA_002721615.1_ASM272161v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA1151_f__TMED-70_g__GCA-2721615_s__GCA-2721615
GCA_002722155.1_ASM272215v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA826_g__UBA11996_s__UBA11996
GCA_002715705.1_ASM271570v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA826_g__AG-426-M11_s__AG-426-M11
GCA_002717465.1_ASM271746v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA826_g__GCA-2717465_s__GCA-2717465
GCA_002718095.1_ASM271809v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA826_g__UBA826_s__UBA826
GCA_002238855.1_ASM223885v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA11138_g__Bin90_s__Bin90
GCA_002719675.1_ASM271967v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__GCA-2719675_g__GCA-2719675_s__GCA-2719675
GCA_002722455.1_ASM272245v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__GCA-2722455_g__GCA-2722455_s__GCA-2722455
GCA_002721445.1_ASM272144v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__GCA-002723415_g__GCA-002723415_s__GCA-002723415
GCA_002723415.1_ASM272341v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__GCA-002723415_g__GCA-002723415_s__GCA-002723415
GCA_002699485.1_ASM269948v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__SAR202_f__UBA2962_g__UBA2962_s__UBA2962
GCA_002721995.1_ASM272199v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__UBA9611_s__UBA9611
GCA_002238505.1_ASM223850v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin22_s__Bin22
GCA_002238825.1_ASM223882v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA3495_g__Bin87_s__Bin87
GCA_002723125.1_ASM272312v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA3495_f__UBA2588_g__UBA2588_s__UBA2588
GCA_002717565.1_ASM271756v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__GCA-2717565_f__GCA-2717565_g__GCA-2717565_s__GCA-2717565
GCA_002238425.1_ASM223842v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2963_f__UBA2963_g__Bin16_s__Bin16
GCA_002720365.1_ASM272036v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__UBA2979_f__UBA2979_g__UBA2979_s__UBA2979
GCA_002239025.1_ASM223902v1	d__Bacteria_p__Chloroflexota_c__Dehalococcoidia_o__Bin125_f__Bin125_g__Bin125_s__Bin125
GCA_002702705.1_ASM270270v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Anaerolineales_f__Anaerolineaceae_g__UBA6170_s__UBA6170
GCA_002238485.1_ASM223848v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__UBA6055_s__UBA6055
GCA_002699585.1_ASM269958v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__GCA-2699585_s__GCA-2699585
GCA_002702065.1_ASM270206v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__SBR1031_f__A4b_g__GCA-2702065_s__GCA-2702065
GCA_002699125.1_ASM269912v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Promineofilales_f__Promineofilaceae_g__GCA-2699125_s__GCA-2699125
GCA_002238445.1_ASM223844v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Caldilineaceae_g__Bin5_s__Bin5
GCA_002238555.1_ASM223855v1	d__Bacteria_p__Chloroflexota_c__Anaerolineae_o__Caldilineales_f__Bin34_g__Bin34_s__Bin34
GCA_002239005.1_ASM223900v1	d__Bacteria_p__Deinococcota_c__Deinococci_o__Deinococcales_f__Trueperaceae_g__MPNL01_s__MPNL01
GCA_002709205.1_ASM270920v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Akkermansiaceae_g__Roseibacillus_s__Roseibacillus
GCA_002715825.1_ASM271582v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Akkermansiaceae_g__Roseibacillus_s__Roseibacillus
GCA_002709915.1_ASM270991v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Akkermansiaceae_g__Roseibacillus_s__Roseibacillus
GCA_002723015.1_ASM272301v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Akkermansiaceae_g__Roseibacillus_s__Roseibacillus
GCA_002718175.1_ASM271817v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Akkermansiaceae_g__Roseibacillus_s__Roseibacillus
GCA_002721695.1_ASM272169v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Akkermansiaceae_g__Roseibacillus_s__Roseibacillus
GCA_002705125.1_ASM270512v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__DEV007_g__EC70_s__EC70
GCA_002708885.1_ASM270888v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__DEV007_g__EC70_s__EC70
GCA_002698785.1_ASM269878v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Verrucomicrobiales_f__DEV007_g__Arctic95D-9_s__Arctic95D-9
GCA_002721895.1_ASM272189v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Pedosphaerales_f__UBA1100_g__UBA6614_s__UBA6614
GCA_002715965.1_ASM271596v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Pedosphaerales_f__GCA-2715965_g__GCA-2715965_s__GCA-2715965
GCA_002690655.1_ASM269065v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Pedosphaerales_f__AAA164-E04_g__AAA164-E04_s__AAA164-E04
GCA_002717045.1_ASM271704v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Opitutales_f__UBA2995_g__UBA2995_s__UBA2995
GCA_002722335.1_ASM272233v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Opitutales_f__MB11C04_g__MB11C04_s__MB11C04
GCA_002721705.1_ASM272170v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Opitutales_f__MB11C04_g__UBA2993_s__UBA2993
GCA_002716045.1_ASM271604v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Opitutales_f__MB11C04_g__UBA2993_s__UBA2993
GCA_002699365.1_ASM269936v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Opitutales_f__Puniceicoccaceae_g__GCA-2699365_s__GCA-2699365
GCA_002690565.1_ASM269056v1	d__Bacteria_p__Verrucomicrobiota_c__Verrucomicrobiae_o__Opitutales_f__Puniceicoccaceae_g__GCA-2690565_s__GCA-2690565
GCA_002704365.1_ASM270436v1	d__Bacteria_p__Verrucomicrobiota_c__Kiritimatiellae_o__Kiritimatiellales_f__UBA1859_g__UBA1859_s__UBA1859
GCA_002698925.1_ASM269892v1	d__Bacteria_p__Verrucomicrobiota_c__Kiritimatiellae_o__Kiritimatiellales_f__UBA1859_g__UBA1859_s__UBA1859
GCA_002709385.1_ASM270938v1	d__Bacteria_p__Verrucomicrobiota_A_c__Chlamydiia_o__Parachlamydiales_f__GCA-2709385_g__GCA-2709385_s__GCA-2709385
GCA_002689655.1_ASM268965v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__Rubripirellula_s__Rubripirellula
GCA_002690925.1_ASM269092v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__Rubripirellula_s__Rubripirellula
GCA_002698965.1_ASM269896v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__UBA721_s__UBA721
GCA_002709045.1_ASM270904v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__UBA721_s__UBA721
GCA_002701385.1_ASM270138v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__UBA721_s__UBA721
GCA_002701545.1_ASM270154v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__GCA-2701545_s__GCA-2701545
GCA_002718815.1_ASM271881v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__GCA-2718815_s__GCA-2718815
GCA_002723275.1_ASM272327v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Pirellulaceae_g__GCA-2723275_s__GCA-2723275
GCA_002702655.1_ASM270265v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__Ga0077529_g__GCA-2702655_s__GCA-2702655
GCA_002711525.1_ASM271152v1	d__Bacteria_p__Planctomycetota_c__Planctomycetes_o__Pirellulales_f__UBA7805_g__UBA7805_s__UBA7805
GCA_002690755.1_ASM269075v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__UBA12014_s__UBA12014
GCA_002709295.1_ASM270929v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__GCA-002862325_s__GCA-002862325
GCA_002709755.1_ASM270975v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__UBA8087_s__UBA8087
GCA_002711415.1_ASM271141v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__GCA-2711415_s__GCA-2711415
GCA_002702575.1_ASM270257v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__UBA1668_s__UBA1668
GCA_002717655.1_ASM271765v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__UBA1668_s__UBA1668
GCA_002689385.1_ASM268938v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__GCA-002718515_s__GCA-002718515
GCA_002718515.1_ASM271851v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__GCA-002718515_s__GCA-002718515
GCA_002705085.1_ASM270508v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__UBA8653_s__UBA8653
GCA_002723305.1_ASM272330v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__SM1A02_g__UBA1924_s__UBA1924
GCA_002716625.1_ASM271662v1	d__Bacteria_p__Planctomycetota_c__Phycisphaerae_o__Phycisphaerales_f__Phycisphaeraceae_g__UBA6626_s__UBA6626
GCA_002705055.1_ASM270505v1	d__Bacteria_p__Planctomycetota_c__UBA1135_o__UBA1135_f__UBA1135_g__GCA-2705055_s__GCA-2705055
GCA_002720975.1_ASM272097v1	d__Bacteria_p__Planctomycetota_c__UBA1135_o__UBA1135_f__GCA-002686595_g__GCA-2720975_s__GCA-2720975
GCA_002711105.1_ASM271110v1	d__Bacteria_p__Planctomycetota_c__UBA8108_o__UBA1146_f__UBA1146_g__UBA1146_s__UBA1146
GCA_002238925.1_ASM223892v1	d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Spirochaetales_f__RBG-16-67-19_g__Bin103_s__Bin103
GCA_002716355.1_ASM271635v1	d__Bacteria_p__UBP7_c__UBA6624_o__UBA6624_f__UBA6624_g__UBA6624_s__UBA6624
GCA_002698895.1_ASM269889v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Zunongwangia_s__Zunongwangia
GCA_002696985.1_ASM269698v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Mesonia_s__Mesonia
GCA_002719535.1_ASM271953v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Mesonia_s__Mesonia
GCA_002716225.1_ASM271622v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Croceibacter_s__Croceibacter
GCA_002716005.1_ASM271600v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Leeuwenhoekiella_s__Leeuwenhoekiella
GCA_002708845.1_ASM270884v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Leeuwenhoekiella_s__Leeuwenhoekiella
GCA_002710945.1_ASM271094v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Leeuwenhoekiella_s__Leeuwenhoekiella
GCA_002715485.1_ASM271548v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Aequorivita_s__Aequorivita
GCA_002698705.1_ASM269870v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__UBA3537_s__UBA3537
GCA_002715605.1_ASM271560v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Pseudozobellia_s__Pseudozobellia
GCA_002699205.1_ASM269920v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Muricauda_s__Muricauda
GCA_002711455.1_ASM271145v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Muricauda_A_s__Muricauda_A
GCA_002691645.1_ASM269164v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__UBA3478_s__UBA3478
GCA_002711215.1_ASM271121v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__UBA8316_s__UBA8316
GCA_002705625.1_ASM270562v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__MED-G11_s__MED-G11
GCA_002719315.1_ASM271931v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__GCA-2719315_s__GCA-2719315
GCA_002702875.1_ASM270287v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__TMED96_A_s__TMED96_A
GCA_002711185.1_ASM271118v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__GCA-002723295_s__GCA-002723295
GCA_002721275.1_ASM272127v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__GCA-002723295_s__GCA-002723295
GCA_002690805.1_ASM269080v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__GCA-002723295_s__GCA-002723295
GCA_002238525.1_ASM223852v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__Bin25_s__Bin25
GCA_002723075.1_ASM272307v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__UBA724_s__UBA724
GCA_002702895.1_ASM270289v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__MAG-121220-bin8_s__MAG-121220-bin8
GCA_002691265.1_ASM269126v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__MED-G13_s__MED-G13
GCA_002702745.1_ASM270274v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Flavobacteriaceae_g__MED-G13_s__MED-G13
GCA_002722215.1_ASM272221v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__TMED113_g__GCA-002701365_s__GCA-002701365
GCA_002701365.1_ASM270136v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__TMED113_g__GCA-002701365_s__GCA-002701365
GCA_002692065.1_ASM269206v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UBA7430_g__GCA-2692065_s__GCA-2692065
GCA_002700335.1_ASM270033v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__BACL11_g__BACL11_s__BACL11
GCA_002704965.1_ASM270496v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__BACL11_g__BACL11_s__BACL11
GCA_002711125.1_ASM271112v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__BACL11_g__GCA-2711125_s__GCA-2711125
GCA_002716345.1_ASM271634v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__BACL11_g__GCA-2716345_s__GCA-2716345
GCA_002697625.1_ASM269762v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__BACL11_g__GCA-002697625_s__GCA-002697625
GCA_002719895.1_ASM271989v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__BACL11_g__UBA7312_s__UBA7312
GCA_002709305.1_ASM270930v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__Crocinitomicaceae_g__UBA4466_s__UBA4466
GCA_002691605.1_ASM269160v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UBA10066_g__MED-G20_s__MED-G20
GCA_002711135.1_ASM271113v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UBA10066_g__MED-G20_s__MED-G20
GCA_002723085.1_ASM272308v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UBA10066_g__GCA-2723085_s__GCA-2723085
GCA_002716065.1_ASM271606v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UBA10066_g__GCA-2716065_s__GCA-2716065
GCA_002702365.1_ASM270236v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UBA10066_g__UBA10066_s__UBA10066
GCA_002700285.1_ASM270028v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UA16_g__UBA974_s__UBA974
GCA_002722795.1_ASM272279v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UA16_g__UBA974_s__UBA974
GCA_002690915.1_ASM269091v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UA16_g__UA16_s__UA16
GCA_002723175.1_ASM272317v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__UA16_g__UA16_s__UA16
GCA_002717515.1_ASM271751v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__GCA-002722245_g__GCA-002722245_s__GCA-002722245
GCA_002722245.1_ASM272224v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Flavobacteriales_f__GCA-002722245_g__GCA-002722245_s__GCA-002722245
GCA_002698985.1_ASM269898v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Chitinophagales_f__Saprospiraceae_g__GCA-2698985_s__GCA-2698985
GCA_002708985.1_ASM270898v1	d__Bacteria_p__Bacteroidota_c__Bacteroidia_o__Chitinophagales_f__UBA8649_g__UBA8649_s__UBA8649
GCA_002238805.1_ASM223880v1	d__Bacteria_p__Bacteroidota_c__Rhodothermia_o__Rhodothermales_f__Bin80_g__Bin80_s__Bin80
GCA_002711615.1_ASM271161v1	d__Bacteria_p__Bacteroidota_c__Rhodothermia_o__Rhodothermales_f__Rubricoccaceae_g__Rubrivirga_s__Rubrivirga
GCA_002697445.1_ASM269744v1	d__Bacteria_p__Bacteroidota_c__Rhodothermia_o__Rhodothermales_f__Rubricoccaceae_g__Rubrivirga_s__Rubrivirga
GCA_002720745.1_ASM272074v1	d__Bacteria_p__Bacteroidota_c__Rhodothermia_o__Balneolales_f__Balneolaceae_g__UBA1275_s__UBA1275
GCA_002698995.1_ASM269899v1	d__Bacteria_p__Bacteroidota_c__Ignavibacteria_o__Ignavibacteriales_f__Melioribacteraceae_g__GCA-2698995_s__GCA-2698995
GCA_002701785.1_ASM270178v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__Marinisomatales_f__TCS55_g__GCA-002701945_s__GCA-002701945
GCA_002691285.1_ASM269128v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__Marinisomatales_f__UBA1611_g__GCA-002708715_s__GCA-002708715
GCA_002708715.1_ASM270871v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__Marinisomatales_f__UBA1611_g__GCA-002708715_s__GCA-002708715
GCA_002698235.1_ASM269823v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__Marinisomatales_f__UBA1611_g__GCA-002718655_s__GCA-002718655
GCA_002718285.1_ASM271828v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__Marinisomatales_f__UBA1611_g__UBA2134_s__UBA2134
GCA_002715465.1_ASM271546v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__Marinisomatales_f__S15-B10_g__GCA-2715465_s__GCA-2715465
GCA_002704685.1_ASM270468v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-002707645_g__GCA-002707645_s__GCA-002707645
GCA_002705605.1_ASM270560v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-002707645_g__GCA-002707645_s__GCA-002707645
GCA_002718585.1_ASM271858v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-002707645_g__GCA-002718585_s__GCA-002718585
GCA_002717625.1_ASM271762v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-002707645_g__GCA-2717625_s__GCA-2717625
GCA_002701525.1_ASM270152v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__SCGC-AAA003-L08_g__SCGC-AAA003-L08_s__SCGC-AAA003-L08
GCA_002705575.1_ASM270557v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-002719095_g__GCA-002719095_s__GCA-002719095
