"proteins" "proteins"
"jk18x1bzbins.9.filtered" 2794 2794
"jk18xAbins.31.filtered" 2235 2235
"jk18x1bzbins.75.filtered" 4320 4320
"jk18x1bzbins.39.filtered" 4379 4379
"jk18xAbins.46.filtered" 3689 3689
"jk18x1bzbins.60.filtered" 1685 1685
"jk18xAbins.26.filtered" 2958 2958
"jk18xAbins.55.filtered" 3223 3223
"jk18xAbins.48.filtered" 4329 4329
"jk18x1bzbins.86.filtered" 2871 2871
"jk18x1bzbins.53.filtered" 4701 4701
"jk18x1bzbins.66.filtered" 2555 2555
"p16x65bins.30.filtered" 2525 2525
"p16x65bins.2.filtered" 4414 4414
"p16x63bins.58.filtered" 3414 3414
"p16x65bins.48.filtered" 5150 5150
"p16x63bins.71.filtered" 3087 3087
"p16x63bins.25.filtered" 2202 2202
"p16x65bins.14.filtered" 3938 3938
"p16x63bins.1.filtered" 2898 2898
"p16x65bins.41.filtered" 4551 4551
"p16x65bins.28.filtered" 3748 3748
"p16x63bins.74.filtered" 4655 4655
"p16x63bins.29.filtered" 4067 4067
"p16x65bins.49.filtered" 4267 4267
"p16x65bins.37.filtered" 3427 3427
"p16x63bins.9.filtered" 2944 2944
"p16x63bins.69.filtered" 2955 2955
"p16x63bins.43.filtered" 3178 3178
"p16x63bins.32.filtered" 2250 2250
"p16x65bins.53.filtered" 3178 3178
"p16x63bins.20.filtered" 3442 3442
"p16x65bins.25.filtered" 4998 4998
"p16x65bins.33.filtered" 3207 3207
"p16x63bins.70.filtered" 5237 5237
"p16x65bins.1.filtered" 3328 3328
"p16x65bins.51.filtered" 4457 4457
"p16x63bins.68.filtered" 3942 3942
"p16x65bins.10.filtered" 3621 3621
"p16x63bins.44.filtered" 1518 1518
"p16x63bins.21.filtered" 3308 3308
"p16x65bins.40.filtered" 4283 4283
"p16x63bins.62.filtered" 4143 4143
"p16x65bins.39.filtered" 2519 2519
"p16x63bins.3.filtered" 3587 3587
"p16x63bins.49.filtered" 3551 3551
"p16x63bins.72.filtered" 3705 3705
"p16x65bins.5.filtered" 4679 4679
"p16x63bins.52.filtered" 2587 2587
"p16x65bins.31.filtered" 3399 3399
"p16x60bins.63.filtered" 2794 2794
"p16x60bins.21.filtered" 2646 2646
"p16x57bins.39.filtered" 2710 2710
"p16x57bins.24.filtered" 3918 3918
"p16x57bins.56.filtered" 2365 2365
"p16x57bins.45.filtered" 4459 4459
"p16x60bins.8.filtered" 4482 4482
"p16x57bins.41.filtered" 4334 4334
"p16x60bins.38.filtered" 2536 2536
"p16x57bins.12.filtered" 3186 3186
"p16x60bins.9.filtered" 2648 2648
"p16x60bins.22.filtered" 3590 3590
"p16x57bins.32.filtered" 3122 3122
"p16x60bins.66.filtered" 2893 2893
"p16x57bins.13.filtered" 3245 3245
"p16x60bins.37.filtered" 4697 4697
"p16x60bins.67.filtered" 2302 2302
"p16x60bins.17.filtered" 3370 3370
"p16x60bins.18.filtered" 3668 3668
"p16x60bins.55.filtered" 3979 3979
"p16x60bins.11.filtered" 3259 3259
"p16x57bins.40.filtered" 3177 3177
"p16x57bins.10.filtered" 4258 4258
"p16x57bins.17.filtered" 1504 1504
"p16x60bins.61.filtered" 3056 3056
"p16x60bins.27.filtered" 4820 4820
"p16x60bins.4.filtered" 3526 3526
"p16x60bins.49.filtered" 4683 4683
"p16x60bins.57.filtered" 3576 3576
"p16x57bins.38.filtered" 3613 3613
"p16x57bins.35.filtered" 5148 5148
"p16x60bins.58.filtered" 2861 2861
"p16x57bins.27.filtered" 2947 2947
"p16x60bins.32.filtered" 2157 2157
"p16x34bins.9.filtered" 3459 3459
"p16x34bins.71.filtered" 2634 2634
"p16x33bins.71.filtered" 5959 5959
"p16x34bins.45.filtered" 1508 1508
"p16x34bins.31.filtered" 5056 5056
"p16x33bins.23.filtered" 4482 4482
"p16x33bins.38.filtered" 3309 3309
"p16x34bins.64.filtered" 4509 4509
"p16x34bins.22.filtered" 3294 3294
"p16x33bins.48.filtered" 3867 3867
"p16x33bins.8.filtered" 2056 2056
"p16x34bins.44.filtered" 2995 2995
"p16x34bins.34.filtered" 3226 3226
"p16x34bins.54.filtered" 2726 2726
"p16x34bins.36.filtered" 3525 3525
"p16x34bins.5.filtered" 4542 4542
"p16x33bins.2.filtered" 4070 4070
"p16x33bins.66.filtered" 2685 2685
"p16x33bins.28.filtered" 3704 3704
"p16x34bins.24.filtered" 3328 3328
"p16x34bins.23.filtered" 2788 2788
"p16x34bins.50.filtered" 3694 3694
"p16x33bins.3.filtered" 3594 3594
"p16x33bins.37.filtered" 2765 2765
"p16x33bins.42.filtered" 4061 4061
"p16x33bins.47.filtered" 3816 3816
"p16x33bins.15.filtered" 4265 4265
"p16x34bins.60.filtered" 4295 4295
"p16x33bins.39.filtered" 4109 4109
"p16x34bins.66.filtered" 5902 5902
"p16x34bins.10.filtered" 3825 3825
"p16x34bins.62.filtered" 4838 4838
"p16x34bins.1.filtered" 4288 4288
"p16x34bins.28.filtered" 4395 4395
"p16x34bins.72.filtered" 4048 4048
"p16x34bins.51.filtered" 3150 3150
"p16x33bins.34.filtered" 3453 3453
"p16x34bins.53.filtered" 3019 3019
"p16x34bins.13.filtered" 4890 4890
"p16x33bins.19.filtered" 1608 1608
"p16x34bins.14.filtered" 3178 3178
"p16x33bins.5.filtered" 2499 2499
"p16x34bins.37.filtered" 2934 2934
"p16x33bins.50.filtered" 5019 5019
"p16x33bins.72.filtered" 2616 2616
"p16x34bins.65.filtered" 3878 3878
"p16x34bins.43.filtered" 4392 4392
"p16x34bins.47.filtered" 3695 3695
"GCA_009838965.1_ASM983896v1_genomic" 2900 2900
"GCA_009836005.1_ASM983600v1_genomic" 3072 3072
"GCA_009841235.1_ASM984123v1_genomic" 4359 4359
"GCA_009837275.1_ASM983727v1_genomic" 2425 2425
"GCA_009839725.1_ASM983972v1_genomic" 2908 2908
"GCA_009840445.1_ASM984044v1_genomic" 2137 2137
"GCA_009836525.1_ASM983652v1_genomic" 3856 3856
"GCA_009838805.1_ASM983880v1_genomic" 4919 4919
"GCA_009837395.1_ASM983739v1_genomic" 3226 3226
"GCA_009841265.1_ASM984126v1_genomic" 3152 3152
"GCA_009836215.1_ASM983621v1_genomic" 2797 2797
"GCA_009840285.1_ASM984028v1_genomic" 2161 2161
"GCA_009840355.1_ASM984035v1_genomic" 3006 3006
"GCA_009841075.1_ASM984107v1_genomic" 2075 2075
"GCA_009844885.1_ASM984488v1_genomic" 4399 4399
"GCA_009841145.1_ASM984114v1_genomic" 3707 3707
"GCA_009841475.1_ASM984147v1_genomic" 3778 3778
"GCA_009839615.1_ASM983961v1_genomic" 3433 3433
"GCA_009836085.1_ASM983608v1_genomic" 2228 2228
"GCA_009838175.1_ASM983817v1_genomic" 2405 2405
"GCA_009839745.1_ASM983974v1_genomic" 4398 4398
"GCA_009835325.1_ASM983532v1_genomic" 3178 3178
"GCA_009840225.1_ASM984022v1_genomic" 4584 4584
"GCA_009845765.1_ASM984576v1_genomic" 3237 3237
"GCA_009839975.1_ASM983997v1_genomic" 4061 4061
"GCA_009843735.1_ASM984373v1_genomic" 3239 3239
"GCA_009846005.1_ASM984600v1_genomic" 4188 4188
"GCA_009839325.1_ASM983932v1_genomic" 2569 2569
"GCA_009840735.1_ASM984073v1_genomic" 2473 2473
"GCA_009845885.1_ASM984588v1_genomic" 2687 2687
"GCA_009842675.1_ASM984267v1_genomic" 3176 3176
"GCA_009836165.1_ASM983616v1_genomic" 3206 3206
"GCA_009841405.1_ASM984140v1_genomic" 3633 3633
"GCA_009839925.1_ASM983992v1_genomic" 2854 2854
"GCA_009838635.1_ASM983863v1_genomic" 2743 2743
"GCA_009838875.1_ASM983887v1_genomic" 3355 3355
"GCA_009837885.1_ASM983788v1_genomic" 3693 3693
"GCA_009843865.1_ASM984386v1_genomic" 1663 1663
"GCA_009843015.1_ASM984301v1_genomic" 3028 3028
"GCA_009839295.1_ASM983929v1_genomic" 3611 3611
"GCA_009840525.1_ASM984052v1_genomic" 3411 3411
"GCA_009840215.1_ASM984021v1_genomic" 3628 3628
"GCA_009835805.1_ASM983580v1_genomic" 3960 3960
"GCA_009842195.1_ASM984219v1_genomic" 2749 2749
"GCA_009837085.1_ASM983708v1_genomic" 3698 3698
"GCA_009839635.1_ASM983963v1_genomic" 1695 1695
"GCA_009836145.1_ASM983614v1_genomic" 2230 2230
"GCA_009843915.1_ASM984391v1_genomic" 3101 3101
"GCA_009838445.1_ASM983844v1_genomic" 3073 3073
"GCA_009838785.1_ASM983878v1_genomic" 3538 3538
"GCA_009842505.1_ASM984250v1_genomic" 3443 3443
"GCA_009841335.1_ASM984133v1_genomic" 2835 2835
"GCA_009841325.1_ASM984132v1_genomic" 3159 3159
"GCA_009841015.1_ASM984101v1_genomic" 3386 3386
"GCA_009844085.1_ASM984408v1_genomic" 2952 2952
"GCA_009845855.1_ASM984585v1_genomic" 3149 3149
"GCA_009841105.1_ASM984110v1_genomic" 2810 2810
"GCA_009840175.1_ASM984017v1_genomic" 4300 4300
"GCA_009841435.1_ASM984143v1_genomic" 2793 2793
"GCA_009842405.1_ASM984240v1_genomic" 2657 2657
"GCA_009842315.1_ASM984231v1_genomic" 3565 3565
"GCA_009841545.1_ASM984154v1_genomic" 2752 2752
"GCA_009838975.1_ASM983897v1_genomic" 3818 3818
"GCA_009841605.1_ASM984160v1_genomic" 2898 2898
"GCA_009838525.1_ASM983852v1_genomic" 3719 3719
"GCA_009839465.1_ASM983946v1_genomic" 5131 5131
"GCA_009838625.1_ASM983862v1_genomic" 4501 4501
"GCA_009841055.1_ASM984105v1_genomic" 3604 3604
"GCA_009840135.1_ASM984013v1_genomic" 3198 3198
"GCA_009837815.1_ASM983781v1_genomic" 2245 2245
"GCA_009840025.1_ASM984002v1_genomic" 3020 3020
"GCA_009838515.1_ASM983851v1_genomic" 4574 4574
"GCA_009835395.1_ASM983539v1_genomic" 2866 2866
"GCA_009839505.1_ASM983950v1_genomic" 4054 4054
"GCA_009845505.1_ASM984550v1_genomic" 4373 4373
"GCA_009838465.1_ASM983846v1_genomic" 3239 3239
"GCA_009840945.1_ASM984094v1_genomic" 2443 2443
"GCA_009836625.1_ASM983662v1_genomic" 3552 3552
"GCA_009836695.1_ASM983669v1_genomic" 2837 2837
"GCA_009844535.1_ASM984453v1_genomic" 4683 4683
"GCA_009837355.1_ASM983735v1_genomic" 3133 3133
"GCA_009838075.1_ASM983807v1_genomic" 4479 4479
"GCA_009838215.1_ASM983821v1_genomic" 4382 4382
"GCA_009837475.1_ASM983747v1_genomic" 3162 3162
"GCA_009840635.1_ASM984063v1_genomic" 2973 2973
"GCA_009840165.1_ASM984016v1_genomic" 3880 3880
"GCA_009840105.1_ASM984010v1_genomic" 3216 3216
"GCA_009840315.1_ASM984031v1_genomic" 2836 2836
"GCA_009840575.1_ASM984057v1_genomic" 3121 3121
"GCA_009841725.1_ASM984172v1_genomic" 2454 2454
"GCA_009841665.1_ASM984166v1_genomic" 5153 5153
"GCA_009840005.1_ASM984000v1_genomic" 5657 5657
"GCA_009837805.1_ASM983780v1_genomic" 4516 4516
"GCA_009843885.1_ASM984388v1_genomic" 5288 5288
"GCA_009840965.1_ASM984096v1_genomic" 2798 2798
"GCA_009841225.1_ASM984122v1_genomic" 4395 4395
"GCA_009836025.1_ASM983602v1_genomic" 2238 2238
"GCA_009843525.1_ASM984352v1_genomic" 2961 2961
"GCA_009843785.1_ASM984378v1_genomic" 5311 5311
"GCA_009841255.1_ASM984125v1_genomic" 4896 4896
"GCA_009840825.1_ASM984082v1_genomic" 1640 1640
"GCA_009840555.1_ASM984055v1_genomic" 2000 2000
"GCA_009843505.1_ASM984350v1_genomic" 3745 3745
"GCA_009835985.1_ASM983598v1_genomic" 2824 2824
"GCA_009841045.1_ASM984104v1_genomic" 1813 1813
"GCA_009840385.1_ASM984038v1_genomic" 1536 1536
"GCA_009838195.1_ASM983819v1_genomic" 2388 2388
"GCA_009841165.1_ASM984116v1_genomic" 3651 3651
"GCA_009837725.1_ASM983772v1_genomic" 4054 4054
"GCA_009841005.1_ASM984100v1_genomic" 2796 2796
"GCA_009837925.1_ASM983792v1_genomic" 1499 1499
"GCA_009843665.1_ASM984366v1_genomic" 4441 4441
"GCA_009837285.1_ASM983728v1_genomic" 2354 2354
"jk18x7bins.36.filtered" 3770 3770
"jk18x7bins.108.filtered" 3552 3552
"jk18x7bins.3.filtered" 4421 4421
"jk18x9bins.12.filtered" 3570 3570
"jk18x9bins.28.filtered" 3516 3516
"jk18x7bins.45.filtered" 4397 4397
"jk18x9bins.88.filtered" 4329 4329
"jk18x7bins.84.filtered" 1771 1771
"jk18x7bins.8.filtered" 2349 2349
"jk18x9bins.46.filtered" 3840 3840
"jk18x7bins.104.filtered" 3307 3307
"jk18x9bins.18.filtered" 4276 4276
"jk18x9bins.9.filtered" 3892 3892
"jk18x7bins.52.filtered" 4787 4787
"jk18x7bins.59.filtered" 4738 4738
"jk18x7bins.48.filtered" 2389 2389
"jk18x9bins.40.filtered" 3733 3733
"jk18x7bins.73.filtered" 3203 3203
"jk18x9bins.33.filtered" 4663 4663
"jk18x7bins.95.filtered" 5386 5386
"jk18x7bins.44.filtered" 2720 2720
"jk18x7bins.9.filtered" 4372 4372
"jk18x9bins.87.filtered" 3021 3021
"jk18x7bins.23.filtered" 3617 3617
"jk18x7bins.54.filtered" 3154 3154
"jk18x9bins.15.filtered" 3137 3137
"jk18x7bins.47.filtered" 3485 3485
"jk18x9bins.61.filtered" 3151 3151
"jk18x7bins.13.filtered" 2646 2646
"jk18x7bins.92.filtered" 4669 4669
"jk18x7bins.57.filtered" 2940 2940
"jk18x9bins.14.filtered" 3547 3547
"jk18x9bins.35.filtered" 2675 2675
"jk18x9bins.50.filtered" 4695 4695
"jk18x9bins.57.filtered" 2768 2768
"jk18x9bins.76.filtered" 4657 4657
"jk18x9bins.84.filtered" 3632 3632
"jk18x9bins.60.filtered" 1453 1453
"jk18x7bins.26.filtered" 4720 4720
"jk18x7bins.5.filtered" 4841 4841
"jk18x7bins.70.filtered" 4396 4396
"jk18x7bins.10.filtered" 4204 4204
"jk18x9bins.56.filtered" 3582 3582
"jk18x9bins.85.filtered" 3986 3986
"jk18x7bins.67.filtered" 4373 4373
"jk18x9bins.65.filtered" 3892 3892
"jk18x7bins.79.filtered" 2407 2407
"jk18x7bins.24.filtered" 3598 3598
"jk18x9bins.20.filtered" 3365 3365
"jk18x7bins.31.filtered" 2289 2289
"jk18x9bins.27.filtered" 3194 3194
"jk18x9bins.53.filtered" 2730 2730
"jk18x9bins.74.filtered" 3307 3307
"jk18x7bins.32.filtered" 2299 2299
"jk18x7bins.101.filtered" 2846 2846
"jk18x7bins.100.filtered" 3065 3065
"GCA_002719535.1_ASM271953v1_genomic" 3158 3158
"GCA_002720365.1_ASM272036v1_genomic" 1949 1949
"GCA_002711615.1_ASM271161v1_genomic" 4203 4203
"GCA_002716245.1_ASM271624v1_genomic" 2802 2802
"GCA_002723655.1_ASM272365v1_genomic" 2856 2856
"GCA_002715465.1_ASM271546v1_genomic" 2141 2141
"GCA_002722885.1_ASM272288v1_genomic" 3840 3840
"GCA_002717955.1_ASM271795v1_genomic" 3671 3671
"GCA_002716355.1_ASM271635v1_genomic" 1227 1227
"GCA_002723275.1_ASM272327v1_genomic" 5082 5082
"GCA_002718285.1_ASM271828v1_genomic" 2657 2657
"GCA_002709065.1_ASM270906v1_genomic" 6067 6067
"GCA_002709205.1_ASM270920v1_genomic" 2663 2663
"GCA_002720815.1_ASM272081v1_genomic" 2174 2174
"GCA_002721725.1_ASM272172v1_genomic" 1658 1658
"GCA_002718155.1_ASM271815v1_genomic" 2970 2970
"GCA_002709305.1_ASM270930v1_genomic" 2054 2054
"GCA_002708795.1_ASM270879v1_genomic" 3195 3195
"GCA_002715965.1_ASM271596v1_genomic" 5035 5035
"GCA_002720535.1_ASM272053v1_genomic" 1706 1706
"GCA_002721135.1_ASM272113v1_genomic" 4300 4300
"GCA_002717625.1_ASM271762v1_genomic" 1339 1339
"GCA_002717655.1_ASM271765v1_genomic" 2620 2620
"GCA_002717105.1_ASM271710v1_genomic" 4185 4185
"GCA_002711415.1_ASM271141v1_genomic" 2487 2487
"GCA_002721275.1_ASM272127v1_genomic" 1522 1522
"GCA_002717565.1_ASM271756v1_genomic" 1610 1610
"GCA_002717485.1_ASM271748v1_genomic" 1456 1456
"GCA_002723155.1_ASM272315v1_genomic" 3743 3743
"GCA_002715685.1_ASM271568v1_genomic" 3337 3337
"GCA_002723175.1_ASM272317v1_genomic" 1960 1960
"GCA_002717515.1_ASM271751v1_genomic" 2247 2247
"GCA_002716865.1_ASM271686v1_genomic" 1335 1335
"GCA_002720595.1_ASM272059v1_genomic" 2764 2764
"GCA_002708885.1_ASM270888v1_genomic" 2681 2681
"GCA_002720235.1_ASM272023v1_genomic" 3187 3187
"GCA_002708715.1_ASM270871v1_genomic" 2187 2187
"GCA_002718345.1_ASM271834v1_genomic" 2201 2201
"GCA_002719735.1_ASM271973v1_genomic" 4320 4320
"GCA_002721705.1_ASM272170v1_genomic" 2857 2857
"GCA_002709595.1_ASM270959v1_genomic" 3785 3785
"GCA_002721295.1_ASM272129v1_genomic" 1667 1667
"GCA_002717125.1_ASM271712v1_genomic" 3112 3112
"GCA_002721595.1_ASM272159v1_genomic" 2237 2237
"GCA_002716125.1_ASM271612v1_genomic" 4805 4805
"GCA_002722455.1_ASM272245v1_genomic" 2718 2718
"GCA_002722215.1_ASM272221v1_genomic" 1210 1210
"GCA_002715485.1_ASM271548v1_genomic" 2609 2609
"GCA_002722705.1_ASM272270v1_genomic" 3843 3843
"GCA_002709955.1_ASM270995v1_genomic" 4009 4009
"GCA_002723255.1_ASM272325v1_genomic" 3044 3044
"GCA_002721215.1_ASM272121v1_genomic" 3094 3094
"GCA_002719895.1_ASM271989v1_genomic" 1657 1657
"GCA_002716545.1_ASM271654v1_genomic" 2307 2307
"GCA_002709565.1_ASM270956v1_genomic" 2144 2144
"GCA_002723305.1_ASM272330v1_genomic" 3200 3200
